State,Year,Week,week_start,week_start_num,week_end,week_end_num,Sex,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80+
mecklenburg-vorpommern,2021,16,2021-04-19,2021.295890410959,2021-04-25,2021.3123287671233,female,0.05344185243687919,0.10457307886521558,0.07365814385873078,0.09411672130318598,0.0843968516985602,0.11037786401112099,0.08814706843446984,0.0746267238915885,0.060412279139683035,0.030361261796526377,0.0760327592684856,0.07942823108594334,0.044140729353822156,0.07409556486533744,0.06158365239916939,0.08017297311061496,0.03238007934564396,0.08684487919384784,0.10478149799608825,0.18084249740181302,0.08753763981035662,0.09230908391482653,0.07335090987536651,0.09960253012418849,0.09980571934330036,0.07957405385939284,0.06650370825358362,0.010156591823478004,0.14827600086660325,0.07088268916782356,0.08705322728099753,0.06455124942433245,0.10283802202455772,0.09397606714815931,0.0629997477486094,0.08988163515081445,0.06500941984650686,0.08228747363477122,0.06170339426334358,0.06651932821980877,0.08990768013701472,0.12311522888913659,0.04832004330340712,0.10848107658438018,0.07919908183957577,0.09001186021227783,0.06782100855902352,0.11707970553354752,0.05978755752373633,0.05413937360402129,0.1265450525786376,0.1064488811165782,0.08755847485907618,0.06312469918975974,0.08520416717878863,0.07938135956703776,0.1204830708231751,0.07531411421483962,0.08573023110728034,0.048137874423750476,0.07854288731114403,0.0694038957542062,0.06744091453181349,0.02644352251313849,0.019436031848784455,0.057496975808713074,0.049413069983410385,0.05408731946251298,0.07108055908217388,0.04857508080708737,0.046430722793477666,0.027837850073342565,0.042959340353967965,0.062635307760211,0.013516556552617548,0.010395839098741123,0.06713892399765096,0.025673536750258193,0.02979413385479236,0.037375428731245226,0.03883769991810394
mecklenburg-vorpommern,2021,16,2021-04-19,2021.295890410959,2021-04-25,2021.3123287671233,male,0.03432092371823954,0.06454604296545685,0.0696382088081604,0.10435945012300786,0.04423440892524707,0.10102487133137183,0.08374579995701735,0.07840227527522323,0.10169176998312156,0.10679799622651628,0.08636568176140069,0.02798873104361682,0.07873037061716757,0.07071085537936625,0.0516356284213729,0.07512143570768859,0.047440433754738755,0.1266545187620829,0.12160367628695232,0.12126488604176365,0.05145865307419943,0.11937291340900577,0.11809600109117374,0.12872399425447875,0.17910489389465375,0.07760027315422827,0.09526280637580314,0.09995680927733082,0.14164313628921907,0.09074112658334096,0.07479857062053179,0.09714348252377077,0.0916370964120969,0.07343422738638068,0.12618016696476375,0.07490272042961442,0.07595985279587089,0.07664726074215494,0.09477832187667434,0.06974755526133275,0.08649068936152009,0.10492739188473604,0.08600628658501575,0.0781002210763206,0.11925303867409397,0.0625780388513977,0.126555477919514,0.15429428458934386,0.12754589483393966,0.13429687050928277,0.10179597367007145,0.07175228098691044,0.09317382479661966,0.07020056444543452,0.09389271671730506,0.08635526447495526,0.09323112741128141,0.0815583258102561,0.12074888667863937,0.04853344194553669,0.08949617088023568,0.09334573283003153,0.06272902065613944,0.08203227073319118,0.0482575853299201,0.032874389401630066,0.04493701109044341,0.07020056444543452,0.05971467382409355,0.03170366267296771,0.04741961477407348,0.040794397574719504,0.048450164322461804,0.028701519477685403,-0,0.01193536963605799,0.05882966562273267,0.03230203081897313,0.03852546774225384,0.05025107266429448,0.0366677250585332
mecklenburg-vorpommern,2021,17,2021-04-26,2021.3150684931506,2021-05-02,2021.331506849315,female,0.026714060758184326,0.02612616213506999,0.08184998371316704,0.015675162365650305,0.03834333317212995,0.06620172316219711,0.06609759077869493,0.08209476928716274,0.05285885684858066,0.060740260992557096,0.03800508494866891,0.09388229792284143,0.05886610683956913,0.059266961910287234,0.0692893430898671,0.08017297311061496,0.06477512764899426,0.06314552445914219,0.09671628695746452,0.06568626990250385,0.11143571782159191,0.08461039844509344,0.07335090987536651,0.041476136659910255,0.06651932821980877,0.04419277353933138,0.08551667976192585,0.09148603064965855,0.0889127709327201,0.07974591693880385,0.07121594419424157,0.1076265026598069,0.07196577581259352,0.06428051425418921,0.07754819552210056,0.09487730221389973,0.0800219406490001,0.06170339426334358,0.08743346469198537,0.04092449976348459,0.0846156069132787,0.11797612929986713,0.06981003905209797,0.0596365842592678,0.08486040550659285,0.0771419917814787,0.09497628273953139,0.05506074053256903,0.07308533619992695,0.06617569004677477,0.036875872197746386,0.09629951417737304,0.058355932127749074,0.0811729232333258,0.04258463226897965,0.08732928978230901,0.1054067604008917,0.06095891671041996,0.04799213977951416,0.06877906610539038,0.05120880655063852,0.041632261372329366,0.05323884430278651,0.04534296333520837,0.027213519677689067,0.0344926372981892,0.034206448313292746,0.050219842508455105,0.02762973910857567,0.020231935366603407,0.033764159343787806,0.023197173354265063,0.02684933040852547,0.05010012708483459,0.027036627428381574,0.010395839098741123,0.04795050138474914,0.0064171959491335275,0.04171552807728913,0.06230731395444627,0.028077178712487636
mecklenburg-vorpommern,2021,17,2021-04-26,2021.3150684931506,2021-05-02,2021.331506849315,male,0.017157630306755607,0.06454604296545685,0.0696382088081604,0.07451736717794973,0.0811312582609667,0.04327159915406562,0.09073070842031525,0.10694389577287343,0.029034504284252208,0.07117428719913967,0.07196056861129144,0.03498696743657562,0.07873037061716757,0.05655994873331235,0.08116250698710627,0.060089505367650495,0.09491897820172955,0.0819176902460102,0.07597026799998614,0.053020221044720324,0.1103309645866877,0.08423539010656583,0.10332258162215982,0.11356191274172689,0.11933642976478068,0.09313215020744453,0.11260302976020037,0.09086093560815671,0.12391272089907382,0.1403083224140625,0.14970488905869406,0.13297788513540204,0.06750860230593364,0.12398048222184209,0.09010041344035571,0.12645643726558103,0.09497107323348798,0.11021632172725095,0.07580883257063165,0.06043830936988875,0.05764273709357906,0.11447391024428039,0.08600628658501575,0.06344749180241327,0.0794751026470978,0.0625780388513977,0.054201838642621285,0.08635005583251225,0.11538592374210371,0.06710247698282602,0.05814249317216859,0.0526090035973233,0.11649078437726859,0.10972648690219917,0.05973029175113444,0.09028272938476835,0.0783033262926877,0.09220489923706372,0.07241880432169706,0.0832301727620853,0.06538428955826231,0.03588197711718898,0.0701120450992263,0.039045855743555354,0.04423440892524707,0.028763953966498824,0.028592259302643704,0.02063769478948283,0.042647083428971715,0.03170366267296771,0.03318658764752034,0.04589985169846541,0.04239207499782557,0.03588197711718898,0.05549279957370351,0.05969384992867296,0.02352492056192523,0.01614850718550038,0.03852546774225384,0.05863184231978816,0.024440542755345487
mecklenburg-vorpommern,2021,18,2021-05-03,2021.3342465753424,2021-05-09,2021.3506849315067,female,0.017807848877735198,0.02612616213506999,0.032723494254699385,0.015675162365650305,0.06903941087997181,0.02205787770365149,0.051401396473187734,0.08956388736952545,0.07552762366475863,0.030361261796526377,0.06842499930371328,0.06497818082585104,0.02206828211720402,0.08151145237129716,0.03848383692712328,0.04007103534141143,0.07288225136328612,0.02367058665063396,0.04027399207474618,0.07390289087328418,0.055685405363356553,0.08461039844509344,0.032588209322815184,0.041476136659910255,0.04988151702242479,0.07072647660939649,0.037989473545315997,0.020315167810612492,0.049376635390588064,0.07088268916782356,0.06329650791158187,0.021506446764364646,0.041111847487164524,0.03460190987156911,0.048455369169999596,0.08488123948264159,0.060006209235587846,0.04112745982793685,0.07199181182690818,0.07676182961667354,0.04228799028327915,0.06152117849254182,0.05906393103372852,0.03794263936338985,0.045244077240029615,0.0771419917814787,0.06103700826104871,0.07572551125479338,0.026563183486388017,0.04812225997804269,0.0685083089225121,0.07093996722349269,0.04862712943090747,0.07665767608395371,0.04258463226897965,0.059527259065521886,0.0602092437912557,0.04302179196398028,0.041132663942573124,0.041257562850015805,0.05120880655063852,0.03469036878963116,0.024835930050308833,0.03778132194850755,0.031105301412347252,0.015326658494068715,0.015196620334369833,0.023171161759598883,0.031578786710916344,0.028332116952747597,0.016876738398920378,0.013917062185983183,0.021475233867200415,0.025044029834155674,0.027036627428381574,0.010395839098741123,0.019175935300943654,0.025673536750258193,0.035757091120693925,0.03114172320532524,0.019113512323043688
mecklenburg-vorpommern,2021,18,2021-05-03,2021.3342465753424,2021-05-09,2021.3506849315067,male,0.0686697216887518,0.04840332071809422,0.03093880211216547,0.09689862609914787,0.07374666924165656,0.08658444525882883,0.05581554481428612,0.07127322261699284,0.029034504284252208,0.04981385218936015,0.10077478654200576,0.05598732938822379,0.07156482283829417,0.0636349206905713,0.0516356284213729,0.07512143570768859,0.039529821258513495,0.0670139629103154,0.037968658348139936,0.09092344477416603,0.08088647722256445,0.049121593955608694,0.088548149289274,0.06810738260648591,0.08947533505511736,0.08536563177890394,0.008653519992832884,0.0635880634051986,0.04422400007564283,0.04122633809502915,0.044864148202488484,0.04599353443906463,0.08681362705277477,0.04129399175452825,0.07657435340797546,0.03743787363537759,0.028472593660054855,0.033519601175793834,0.042626266367307375,0.0371880944687795,0.019207146817994344,0.0619741160161494,0.05731998051210332,0.039035447932492855,0.08444372773853269,0.07396537965735038,0.04817430814862606,0.05549279957370351,0.09714869224745681,0.08389163483867627,0.03875443782122968,0.05739286085539587,0.03725053914794925,0.04386489604021393,0.08107917709246408,0.04708130750650123,0.06711289041302725,0.060271716121721726,0.03447182350072227,0.04506712364430905,0.06194287881889401,0.04306342641232404,0.05534704431519787,0.046862710134933615,0.040211543764737526,0.049314176147994666,0.008164640941084106,0.03715166844056288,0.02985136666922528,0.04530132706168568,0.028446579426369033,0.010198199966192732,0.03633469136879395,0.028701519477685403,0.00792540393112291,0.07164293031809112,0.02352492056192523,0.02422724296303411,0.01540988308693832,0.04187165350845935,0.030553774522355855
mecklenburg-vorpommern,2021,19,2021-05-10,2021.3534246575343,2021-05-16,2021.3698630136987,female,0.04453106201483111,0.02612616213506999,0.04090888748364255,0.05488375352810062,0.02300468786183651,0.02941431768241391,0.029367491223124625,0.08956388736952545,0.02264573033332204,0.05314514850820919,0.03800508494866891,0.021652107198883212,0.029424723567983084,0.05185424585827647,0.053884308808504644,0.04007103534141143,0.03238007934564396,0.03156317723674844,0.0563933679098293,0.016413790232357738,0.047726695584121286,0.0384422061453278,0.04073715271478626,0.03318138432805966,0.008310264007782153,0.026511156942443794,0.009496067017308214,0.010156591823478004,0.03949859754097675,0.07088268916782356,0.08705322728099753,0.04302179196398028,0.030829537236145035,0.02965885654380517,0.04360467727429517,0.0599020892581348,0.05500347996520514,0.030839943404922184,0.05141180675959203,0.030689054161477596,0.037000760881198386,0.06152117849254182,0.04294893175959129,0.03252056698886141,0.011306029009889506,0.044983851572334116,0.05425389289877397,0.034409382158307654,0.039852467437546855,0.02405556327791183,0.04214747624911348,0.04559278167644049,0.04376080837758144,0.02704183013301061,0.06815424396440914,0.04364631218933612,0.018806600438315058,0.010754712075558268,0.030845146490088796,0.04469760484195881,0.020476431049993696,0.020809363190759527,0.021287956877624414,0.018889830600928397,0.023327231522781853,0.022994283260921688,0.007597755029522502,0.015446293888200674,0.02368099138687019,0.012138216584987522,0.029544391401695232,0.018556910749782825,0.0161068942813376,0.025044029834155674,0.013516556552617548,0.041601036392344484,0.028763953966498824,0.025673536750258193,0.017875472075872385,0.006224772560067722,0.011347638072338734
mecklenburg-vorpommern,2021,19,2021-05-10,2021.3534246575343,2021-05-16,2021.3698630136987,male,0.008580707927871615,0.016127700729256407,0.0386763797264933,0.03724533542182389,0.029487158925127637,0.014421599647218522,0.041856040944250744,0.04988151702242479,0.029034504284252208,0.007114086614622255,0.028774359721922448,0.04198614578923522,0.050084512049894864,0.021204722876538334,0.022125506428951627,0.03003867450234462,0.015810403303080256,0.05956370077123016,0.04556675887656652,0.030288419329371697,0.05145865307419943,0.042100638322103624,0.02949756482527332,0.015129000619842995,0.029809742797933896,0.015508712463970627,0.017308480290899406,0.036324284100357374,0.04422400007564283,0.032978455275331144,0.02990859954665048,0.08690738353234188,0.04821074189902891,0.05506594604182277,0.027010613913061827,0.04211625095975073,0.05221340507136652,0.01914992571771485,0.037890601432940846,0.018588121895278004,0.024008741643971633,0.03336350081887554,0.033431144249339136,0.014634859221278308,0.03972236793093831,0.022744573463521888,0.03612654639581978,0.05549279957370351,0.060698612388635116,0.050318738066287845,0.029065721719190515,0.028691113736837876,0.027936703073378522,0.03947778173970141,0.0511931911827709,0.03530958542955223,0.03727135405766968,0.021261946237974404,0.05516485081659592,-0,0.04128878762375218,0.025116864955247398,0.03320219760901483,0.031235379361559235,0.004019755365543792,0.016434596803073367,0.032676664815368114,0.02063769478948283,0.02131916966238195,0.013584174170386924,0.0047374157925664535,0.015295449306082875,0.030278013270964195,0.03588197711718898,-0,0.023868276995121535,0.02352492056192523,0.03230203081897313,0.00770177033017048,0.008372674018343875,0.01629415261230751
mecklenburg-vorpommern,2021,20,2021-05-17,2021.372602739726,2021-05-23,2021.3890410958904,female,0.00890316213242793,0.008705528673083116,0.02453938929723972,0.015675162365650305,0.007665364951277586,0.044125116108322,0.036709354419722846,0.03730257643787271,0.007545747457218475,0.04554594064604145,0.007597755029522502,0.09388229792284143,0.06622775629065258,0.037031983098929425,0.030782709502421277,0.024039956061912178,0.024284469650704445,0.03156317723674844,0.04833565780850496,0.03283276311046914,0.0318129293857595,0.023061913204078088,0.016288950982899834,0.04977741731572269,0.05819975719620943,0.026511156942443794,0.009496067017308214,0.010156591823478004,0.03949859754097675,0.017709015130952372,0.031641224654456436,0.04302179196398028,0.010276215323515192,0.024711070579739352,0.01937360855865311,0.03493493246386896,0.03999817927137783,0.046269379044268207,0.030839943404922184,0.010229406095077343,0.026427914580409124,0.015373472311165294,0.010733907777395442,0.027099059918251102,0.022614516752292035,0.019274771835868773,0.006776041468690766,0.04129399175452825,0.013282496246981336,0.030069892540127745,0.026339469716752353,0.030392480027974445,0.014582844610372604,0.02704183013301061,0.029804539816368044,0.007930604723981044,0.022567696415880453,0.017922288187641487,0.013709006926505778,0.02062208859928993,0.023889086548788227,0.006937262725709608,0.010645489603034252,0.0075561489675180695,0.011659707102012232,0.011493270053125997,0.011399649447227923,0.003863743539848575,0.02368099138687019,0.020231935366603407,0.008440284947649665,0.018556910749782825,0.0161068942813376,0.012523107842706004,0.013516556552617548,0.010395839098741123,-0,-0,0.01191456486552351,-0,0.007764179610432256
mecklenburg-vorpommern,2021,20,2021-05-17,2021.372602739726,2021-05-23,2021.3890410958904,male,0.008580707927871615,0.04033123642481093,0.046415108860386904,0.02979413385479236,0.01473888859917765,0.007207699505114218,0.027900283525187867,0.0284986079067607,0.021771757146754556,0.028456985118282808,0.028774359721922448,0.013989881723461418,0.007150491607565198,0.028274885810422732,0.014749291548414057,0.03003867450234462,0.023712205608064495,0.007441732468655598,0.05316596978130451,0.02271335982316015,0.02204747329218073,0.014031492933522608,0.036875872197746386,0.015129000619842995,0.014900134546206362,0.015508712463970627,0.069263308428623,0.07267396004705075,0.02652676490016438,0.016486613266285477,0.0373858362100598,0.015326658494068715,0.053035836961240784,0.00917360913611401,0.022510471617515317,0.01871296666461594,0.033217807575201076,0.02394111046938264,0.03315016442224681,0.02323879193279972,0.048033778207614876,0.05243723018347114,0.00477381912164906,0.024393720774768243,0.009927747633663777,0.017058797795801144,0.006021948677558128,0.024653843422593164,0.006068754118689121,0.03913432222169003,0.029065721719190515,0.01912391614748985,0.018619333059512348,0.03508583402816837,0.017058797795801144,0.019612898244428863,0.026089743854916102,0.01417713243095282,0.03447182350072227,0.013859846906638294,0.00688005512568118,0.025116864955247398,0.025819208857950006,0.007805785838885855,0.016080886233149228,0.008216649132375735,0.012252643418077446,-0,0.008528699372468524,0.009059189078280308,0.009480464170565491,0.015295449306082875,0.0060531523002996255,0.014348779505165127,0.02377463410667591,0.023868276995121535,0.03528877130508677,0.01614850718550038,-0,0.016746696362837068,0.012221436074988719
